dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_version,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,0.240098,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.0343,0.068599,0.000197,0.201205,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.039981,0.072591,2.5e-05,0.201274,1,7,1,0,4,0,17746.92,62.4745,4360.7194,13386.2006,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.01715,0.051402,2.5e-05,0.201068,2.9973,1,0.240098,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038847,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.00555,0.008169,0.000158,0.022129,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006446,0.008554,2.4e-05,0.021857,1,7,0,0,4,0,109686.7197,386.1302,26951.8882,82734.8315,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002775,0.006335,2.4e-05,0.021857,2.2829,1,0.038847,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038653,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004832,0.007833,5.9e-05,0.021859,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005487,0.008195,2.7e-05,0.021474,1,8,1,0,4,0,113031.33,439.8106,28484.2056,84547.1244,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002416,0.00595,2e-05,0.021474,2.4631,1,0.038653,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037847,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004731,0.007705,5.7e-05,0.021591,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005373,0.008059,1.6e-05,0.021276,1,8,1,0,4,0,115438.476,449.1769,29090.813,86347.663,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002365,0.005864,1.6e-05,0.021276,2.4788,1,0.037847,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038745,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004843,0.007834,0.000103,0.021816,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005504,0.008198,3.5e-05,0.021459,1,8,1,0,4,0,112762.9372,438.7663,28416.5699,84346.3673,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002422,0.005959,2e-05,0.021459,2.461,1,0.038745,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038639,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.00552,0.008271,0.000106,0.022417,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006405,0.008644,2.5e-05,0.022053,1,7,1,0,4,0,110277.1811,388.2088,27096.9746,83180.2065,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.00276,0.006371,1.9e-05,0.022053,2.3086,1,0.038639,10,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.037832,4369,17,9,1101,122.3333,98.8849,54.0,331.0,0.004729,0.007715,4.9e-05,0.02163,1,7,1,2,3,0,8,3268,408.5,483.4576,54.0,1514.0,0.005376,0.008073,1.4e-05,0.021388,1,8,1,0,4,0,115484.2461,449.355,29102.3472,86381.8989,2.9655,0.0588,-0.496,257.0,368.1982,54.0,1514.0,54.0,220.0,2.4086,2.8138,0.5294,0.0588,0.002364,0.005886,1.4e-05,0.021388,2.4894,1,0.037832,10,1,1,1,0.1176,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038453,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005493,0.008121,6.7e-05,0.02175,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006374,0.008533,2.5e-05,0.021535,1,7,1,0,4,0,110810.6,390.0866,27228.0446,83582.5553,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002747,0.006306,2.5e-05,0.021535,2.296,1,0.038453,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038378,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005483,0.008107,0.000157,0.021834,1,7,0,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006344,0.008491,4.3e-05,0.021504,1,7,1,0,4,0,111027.151,390.8489,27281.2549,83745.8961,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002741,0.006267,4.3e-05,0.021504,2.286,1,0.038378,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
443,TCP,0.038463,4261,15,8,1047,130.875,101.7048,54.0,331.0,0.005495,0.008183,0.000116,0.022014,1,7,1,1,3,0,7,3214,459.1429,496.5922,54.0,1514.0,0.006372,0.008594,2.9e-05,0.021794,1,7,1,0,4,0,110781.7903,389.9852,27220.9656,83560.8247,3.0668,0.0667,-0.5086,284.0667,383.9515,54.0,1514.0,54.0,275.5,2.2152,2.9996,0.4667,0.0667,0.002747,0.006346,2.8e-05,0.021794,2.3097,1,0.038463,8,1,1,1,0.1333,1,,21,3,t12i210300_b973bfd88a0e_c08b0bbc99a6,12,21,3,0,0,5079c37250d628519709602286e00194,ja4,0,0x3c,0,0,0,0,0,0,minor_project,t12i210300_b973bfd88a0e_c08b0bbc99a6,ja4
