dst_port,protocol,duration,total_bytes,total_packets,fwd_pkts,fwd_bytes,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_min,fwd_pkt_len_max,fwd_iat_mean,fwd_iat_std,fwd_iat_min,fwd_iat_max,fwd_syn,fwd_ack,fwd_fin,fwd_rst,fwd_psh,fwd_urg,bwd_pkts,bwd_bytes,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_min,bwd_pkt_len_max,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_syn,bwd_ack,bwd_fin,bwd_rst,bwd_psh,bwd_urg,bytes_per_second,packets_per_second,fwd_bytes_per_second,bwd_bytes_per_second,down_up_ratio,flow_pkt_asymmetry,flow_byte_asymmetry,pkt_len_mean,pkt_len_std,pkt_len_min,pkt_len_max,pkt_len_q1,pkt_len_q3,pkt_len_skew,pkt_len_entropy,small_pkt_ratio,large_pkt_ratio,iat_mean,iat_std,iat_min,iat_max,burstiness,burst_count,mean_burst_duration,direction_switches,src_port_ephemeral,is_well_known_dst_port,is_complete_handshake,handshake_ratio,has_tls,tls_cipher_count,tls_ext_count,ja4_fingerprint,ja4_tls_ver_num,ja4_cipher_count,ja4_ext_count,ja4_sni_present,ja4_has_alpn,ja3_fingerprint,fingerprint_source,has_sni,cipher_suite,dns_query_count,dns_query_types,dns_unique_queries,http_request_count,http_unique_hosts,http_unique_uris,label,fingerprint_final,fingerprint_method
443,TCP,1.802195,40695,59,25,8406,336.24,442.3538,60.0,1342.0,0.075091,0.090866,0.000122,0.299715,1,24,0,0,7,0,34,32289,949.6765,533.647,54.0,1342.0,0.05021,0.07252,4.2e-05,0.191156,1,34,0,0,8,0,22580.7964,32.7379,4664.3119,17916.4845,3.8407,-0.1525,-0.5869,689.7458,582.1606,54.0,1342.0,60.0,1342.0,0.0372,2.7222,0.3729,0.4237,0.031072,0.06011,1.3e-05,0.187524,1.9345,1,1.802195,28,1,1,0,0.0339,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.687593,38468,57,23,8277,359.8696,453.3614,60.0,1342.0,0.076709,0.084251,0.000122,0.226954,1,22,0,0,7,0,34,30191,887.9706,563.5769,54.0,1342.0,0.046995,0.064616,4.2e-05,0.191375,1,34,0,0,8,0,22794.5958,33.7759,4904.6186,17889.9772,3.6471,-0.193,-0.5697,674.8772,582.6824,54.0,1342.0,60.0,1342.0,0.0716,2.8001,0.386,0.4211,0.030136,0.055182,3e-06,0.186911,1.8311,1,1.687593,22,1,1,0,0.0351,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.829169,82897,109,46,16532,359.3913,479.0137,60.0,1342.0,0.037438,0.060773,1e-06,0.174013,1,45,0,0,11,0,63,66365,1053.4127,491.6146,54.0,1342.0,0.027192,0.053632,4.2e-05,0.17901,1,63,0,0,11,0,45319.4857,59.5899,9037.9837,36281.502,4.0141,-0.156,-0.6011,760.5229,594.9879,54.0,1342.0,60.0,1342.0,-0.1796,2.4568,0.3578,0.5046,0.016937,0.043093,0.0,0.173671,2.5444,1,1.829169,45,1,1,0,0.0183,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.839833,43534,61,26,9046,347.9231,437.6794,60.0,1342.0,0.065593,0.080869,0.000125,0.221362,1,25,0,0,8,0,35,34488,985.3714,532.7666,54.0,1342.0,0.049477,0.073134,4.2e-05,0.210505,1,35,0,0,6,0,23661.9299,33.1552,4916.7505,18745.1794,3.8121,-0.1475,-0.5844,713.6721,586.4152,54.0,1342.0,60.0,1342.0,-0.0329,2.6124,0.3607,0.4426,0.030664,0.059854,1e-06,0.200011,1.9519,1,1.839833,33,1,1,0,0.0328,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.526525,40841,60,25,8402,336.08,442.3705,60.0,1342.0,0.063605,0.08281,1e-06,0.238311,1,24,0,0,7,0,35,32439,926.8286,553.844,54.0,1342.0,0.040647,0.063148,4.2e-05,0.198058,1,35,0,0,6,0,26754.229,39.305,5504.0041,21250.2249,3.8604,-0.1667,-0.5886,680.6833,587.6174,54.0,1342.0,60.0,1342.0,0.0779,2.6302,0.3833,0.4167,0.025873,0.052436,1e-06,0.185744,2.0267,1,1.526525,22,1,1,0,0.0333,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,2.224644,41958,62,25,8975,359.0,442.5394,60.0,1342.0,0.085024,0.126325,0.000121,0.50025,1,24,0,0,8,0,37,32983,891.4324,561.6657,54.0,1342.0,0.057269,0.086873,4.1e-05,0.335936,1,37,0,0,7,0,18860.5462,27.8696,4034.3535,14826.1928,3.6746,-0.1935,-0.5722,676.7419,579.1785,54.0,1342.0,60.0,1342.0,0.0945,2.734,0.371,0.4032,0.03647,0.073413,9e-06,0.335936,2.013,1,2.224644,29,1,1,0,0.0323,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,2.075087,42605,63,26,9046,347.9231,437.6794,60.0,1342.0,0.075133,0.102407,0.000124,0.31927,1,25,0,0,8,0,37,33559,907.0,568.5739,54.0,1342.0,0.053181,0.07292,4e-05,0.213504,1,37,0,0,6,0,20531.6709,30.3602,4359.3356,16172.3353,3.7094,-0.1746,-0.5754,676.2698,587.0929,54.0,1342.0,60.0,1342.0,0.0934,2.6295,0.381,0.4127,0.033469,0.060657,6e-06,0.19677,1.8123,1,2.075087,33,1,1,0,0.0317,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,2.12014,45993,67,26,9034,347.4615,437.7444,60.0,1342.0,0.078135,0.095916,0.000129,0.255963,1,25,0,0,8,0,41,36959,901.439,567.1237,54.0,1342.0,0.049042,0.073168,4e-05,0.217204,1,41,0,0,8,0,21693.378,31.6017,4261.0392,17432.3388,4.0906,-0.2239,-0.6072,686.4627,586.5622,54.0,1342.0,60.0,1342.0,0.038,2.6893,0.3881,0.4328,0.032123,0.061951,1.2e-05,0.202524,1.9285,1,2.12014,33,1,1,0,0.0299,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,1.661596,41614,60,25,8975,359.0,442.5394,60.0,1342.0,0.061396,0.077632,0.000127,0.201967,1,24,0,0,8,0,35,32639,932.5429,556.0369,54.0,1342.0,0.04448,0.068919,4e-05,0.201091,1,35,0,0,6,0,25044.5948,36.1099,5401.4331,19643.1617,3.6363,-0.1667,-0.5687,693.5667,584.7283,54.0,1342.0,60.0,1342.0,0.0605,2.6199,0.35,0.4167,0.028163,0.057351,1.8e-05,0.188083,2.0364,1,1.661596,31,1,1,0,0.0333,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
443,TCP,0.146361,525,5,3,405,135.0,101.8528,60.0,279.0,0.036566,0.026458,0.010108,0.063024,1,2,0,0,1,0,2,120,60.0,6.0,54.0,66.0,0.08364,0.0,0.08364,0.08364,1,2,0,0,0,0,3587.0184,34.1621,2767.1285,819.8899,0.2956,0.2,0.5429,105.0,87.1137,54.0,279.0,60.0,66.0,1.4902,1.9219,0.8,0.0,0.03659,0.031793,0.000303,0.073229,0.8689,1,0.146361,3,1,1,0,0.4,1,36,4,t10d360400_77f462745360_8c53be739f3b,10,36,4,1,0,4621efc8cc400e03140ac1993fdd3e75,ja4,1,0xc00a,0,0,0,0,0,0,dreambot,t10d360400_77f462745360_8c53be739f3b,ja4
